,Unnamed: 0.1,Unnamed: 0,filename,segments,knn_segs,svm_segs,segs_4sec,new_seg_4sec
67,67,100067,Programs/73/73660/A73660/MM/A73660-15.wav,8,27,31,23,15
68,68,100068,Programs/34/34071/A34071/PM-0000/A34071-05.wav,8,65,65,61,45
69,69,100069,Programs/60/60074/A60074/PM-0907/A60074-24.wav,8,14,16,18,6
70,70,100070,Programs/73/73800/A73800/PM-1602/A73800-003.wav,8,20,19,17,9
71,71,100071,Programs/64/64971/A64971/PM-1511/A64971-21.wav,8,15,19,6,1
72,72,100072,Programs/73/73660/A73660/MM/A73660-22.wav,8,25,27,17,11
73,73,100073,Programs/64/64136/A64136/PM-1308/A64136-012.wav,8,11,9,7,1
74,74,100074,Programs/34/34070/A34070/From_CM/C34070A(06).wav,8,36,35,32,24
75,75,100075,Programs/73/73670/A73670/MM/A73670-01.wav,8,9,17,11,7
76,76,100076,Programs/34/34070/A34070/From_CM/C34070A(08).wav,8,43,43,38,22
77,77,100077,Programs/37/37943/A37943/PM-1304/A37943-004.wav,8,6,10,9,4
78,78,100078,Programs/34/34070/A34070/From_CM/C34070A(11).wav,8,41,41,43,23
79,79,100079,Programs/74/74711/A74711/PM-1602/A74711-018.wav,8,11,13,13,4
80,80,100080,Programs/73/73610/A73610/MM/A73610-05.wav,8,24,27,27,17
81,81,100081,Programs/85/85273/A85273/PM/A85273-09.wav,8,5,10,10,3
82,82,100082,Programs/65/65140/A65140/PM-1606/A65140-035.wav,8,2,11,13,4
83,83,100083,Programs/32/32071/A32071/From_CM/C32071A Region 00_17_14_752 to 00_18_51_690 (16 _ 17).wav,8,15,22,20,11
84,84,100084,Programs/31/31460/A31460/PM-1712/A31460-035.wav,8,18,18,17,8
85,85,100085,Programs/80/80938/A80938/PM-0911/A80938-26.wav,8,2,13,11,2
86,86,100086,Programs/22/22990/A22990/PM-1609/A22990-007.wav,8,12,14,11,7
87,87,100087,Programs/22/22990/A22990/PM-1609/A22990-013.wav,8,12,12,10,6
88,88,100088,Programs/80/80876/A80876/MM/A80876-09.wav,8,18,21,20,14
89,89,100089,Programs/22/22990/A22990/PM-1609/A22990-017.wav,8,11,11,11,4
90,90,100090,Programs/64/64093/A64093/PM-1306/A64093-39.wav,8,3,10,9,2
91,91,100091,Programs/75/75084/A75084/PM-1002/A75084-07.wav,8,8,13,15,6
92,92,100092,Programs/65/65604/A65604/PM-1803/A65604-020.wav,8,19,19,16,8
93,93,100093,Programs/22/22990/A22990/PM-1609/A22990-026.wav,8,11,13,9,4
94,94,100094,Programs/22/22990/A22990/PM-1609/A22990-028.wav,8,13,13,12,7
95,95,100095,Programs/22/22990/A22990/PM-1609/A22990-030.wav,8,11,11,7,4
96,96,100096,Programs/72/72880/A72880/PM-1103-DJ/A72880-11.wav,8,9,21,18,6
97,97,100097,Programs/19/19751/A19751/PM-2104/A19751-033.wav,8,9,12,11,6
98,98,100098,Programs/80/80448/A80448/PM-1808/A80448-023.wav,8,16,17,15,6
99,99,100099,Programs/65/65604/A65604/PM-1803/A65604-006.wav,8,31,26,27,9
100,100,100100,Programs/19/19751/A19751/PM-2104/A19751-027.wav,8,12,12,13,6
101,101,100101,Programs/19/19751/A19751/PM-2104/A19751-006.wav,8,10,12,11,6
102,102,100102,Programs/63/63076/A63076/PM-0904/A63076-02.wav,8,6,11,13,7
103,103,100103,Programs/19/19751/A19751/PM-2104/A19751-020.wav,8,6,12,11,6
104,104,100104,Programs/19/19751/A19751/PM-2104/A19751-017.wav,8,11,13,12,5
105,105,100105,Programs/37/37533/A37533/PM-0711/A37533-12.wav,8,18,20,16,4
106,106,100106,Programs/75/75084/A75084/PM-1002/A75084-15.wav,8,10,15,12,9
107,107,100107,Programs/19/19751/A19751/PM-2104/A19751-019.wav,8,10,11,9,2
108,108,100108,Programs/19/19751/A19751/PM-2104/A19751-022.wav,8,11,13,9,4
109,109,100109,Programs/19/19751/A19751/PM-2104/A19751-011.wav,8,12,13,10,2
110,110,100110,Programs/80/80447/A80447/PM-1808/A80447-004.wav,8,17,17,14,7
111,111,100111,Programs/12/12371/A12371/From_CM/12371AB(3).wav,8,54,54,18,5
112,112,100112,Programs/35/35611/A35611/PM-1610/A35611-008.wav,8,6,16,16,12
113,113,100113,vox_grn/Audio_MP3/66/66178/Roglai Southern Laq hmoq hadiuq 4 007 Rup 6 Ma-ri si monuih gonroh Yac Po Longiq 66178.mp3,8,3,12,2,0
114,114,100114,Programs/63/63076/A63076/PM-0904/A63076-12.wav,8,7,10,9,6
115,115,100115,Programs/80/80443/A80443/PM-1807/A80443-021.wav,8,15,15,16,8
116,116,100116,Programs/80/80443/A80443/PM-1807/A80443-014.wav,8,15,16,15,9
117,117,100117,Programs/80/80443/A80443/PM-1807/A80443-016.wav,8,18,21,17,10
118,118,100118,Programs/24/24441/A24441/PM-Copy-1011/A24441-24.wav,8,16,17,15,10
119,119,100119,Programs/64/64256/A64256/PM-1510/A64256-24.wav,8,15,18,17,13
120,120,100120,Programs/62/62981/A62981/PM-1210/A62981-002.wav,8,12,14,13,8
121,121,100121,Programs/77/77370/A77370/PM-Clone-1306/A77370-006.wav,8,5,12,8,3
122,122,100122,Programs/80/80111/A80111/PM-1202-DJ/A80111-16.wav,8,17,17,17,14
123,123,100123,Programs/74/74536/A74536/PM-1309/A74536-019.wav,8,17,19,17,6
124,124,100124,Programs/75/75083/A75083/PM-1002/A75083-04.wav,8,19,19,18,14
125,125,100125,Programs/37/37969/A37969/PM/A37969-10.wav,8,6,9,13,5
126,126,100126,Programs/37/37951/A37951/PM/A37951-15.wav,8,4,8,7,3
127,127,100127,Programs/75/75075/A75075/PM-1002/A75075-14.wav,8,16,15,15,11
128,128,100128,Programs/37/37968/A37968/PM/A37968-04.wav,8,2,9,9,2
129,129,100129,Programs/80/80114/A80114/PM-1202-DJ/A80114-15.wav,8,12,16,16,11
130,130,100130,Programs/80/80114/A80114/PM-1202-DJ/A80114-16.wav,8,25,28,26,22
